Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Density, g/cm^3",Reference (DOI)
2,Ⅰ,1,0,0,0,0,Zincchloride,1-Butyl-3-methyl imidazolium chloride,,0.5,0.5,,300.2,1.1025,10.1016/j.cclet.2013.09.004
2,Ⅰ,1,0,0,0,0,Zincchloride,1-Butyl-3-methylimidazolium chloride,,0.5,0.5,,303.15,1.50913,10.1016/j.jobe.2021.103056
2,Ⅰ,1,0,0,0,0,Zincchloride,1-Butyl-3-methylimidazolium chloride,,0.333,0.667,,303.15,1.34292,10.1016/j.jobe.2021.103056
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,293,1.195,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,303,1.188,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,313,1.181,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,323,1.174,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,333,1.167,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,343,1.16,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,353,1.154,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,293,1.226,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,303,1.22,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,313,1.213,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,323,1.206,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,333,1.198,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,343,1.19,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,353,1.183,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Dodecyltrimethylammonium bromide,,0.5,0.5,,298,1.27,10.1016/J.MOLLIQ.2018.12.096
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetradecyltrimethylammonium bromide,,0.5,0.5,,298,1.23,10.1016/J.MOLLIQ.2018.12.096
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Cetyltrimethylammonium bromide,,0.5,0.5,,298,1.19,10.1016/J.MOLLIQ.2018.12.096
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Stearyltrimethylammonium bromide,,0.5,0.5,,298,1.15,10.1016/J.MOLLIQ.2018.12.096
2,Ⅰ,1,0,0,0,0,Aluminium Chloride Anhydrous,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298,1.0007,10.13140/RG.2.2.13424.10245
2,Ⅰ,1,0,0,0,0,Cuprymina,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298,1.0039,10.13140/RG.2.2.13424.10245
2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298,1.0001,10.13140/RG.2.2.13424.10245
2,Ⅰ,1,0,0,0,0,STANNIC CHLORIDE [MI],"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298,1.0043,10.13140/RG.2.2.13424.10245
2,Ⅰ,1,0,0,0,0,Zincchloride,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298,1.0014,10.13140/RG.2.2.13424.10245
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,"1,2,4-Triazole",,0.5,0.5,,313.2,1.16822,10.1021/acssuschemeng.0c04215
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,1H-Benzotriazole,,0.5,0.5,,313.2,1.4666,10.1021/acssuschemeng.0c04215
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,1H-Tetrazole,,0.5,0.5,,313.2,1.16062,10.1021/acssuschemeng.0c04215
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,Benzimidazole,,0.5,0.5,,313.2,1.1985,10.1021/acssuschemeng.0c04215
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,Imidazole,,0.5,0.5,,313.2,1.14956,10.1021/acssuschemeng.0c04215
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,Phenol,,0.5,0.5,,313.2,1.11071,10.1021/acssuschemeng.0c04215
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,Succinimide,,0.5,0.5,,313.2,1.12093,10.1021/acssuschemeng.0c04215
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,293.15,1.2982,10.1021/acssuschemeng.9b03245
