,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),I,II,III,IV,V,"Temperature, K","Density, g/cm^3",isomer_smiles#1,isomer_smiles#2,isomer_smiles#3,"VdWVolume, A^3#1","VdWVolume, A^3#2","VdWVolume, A^3#3",NumHeteroatoms,RingCount,InertialShapeFactor,SpherocityIndex,Metal_frac_gen,Li,C,N,O,F,Al,P,S,Cl,K,Fe,Cu,Zn,Br,ind_syst
0,zincchloride,1-Butyl-3-methylimidazolium chloride,0,0.5,0.5,0,1,0,0,0,0,300.2,1.1025,[Cl-].[Cl-].[Zn+2],CCCCN1C=C[N+](=C1)C.[Cl-],,36.89804895,-5.543789791,0,3,0.5,0.001098301,0.452187347,0.210276843,0,4,1,0,0,0,0,0,1.5,0,0,0,0.5,0,400
1,zincchloride,1-Butyl-3-methylimidazolium chloride,0,0.5,0.5,0,1,0,0,0,0,303.15,1.50913,[Cl-].[Cl-].[Zn+2],CCCCN1C=C[N+](=C1)C.[Cl-],,36.89804895,-5.543789791,0,3,0.5,0.001098301,0.452187347,0.210276843,0,4,1,0,0,0,0,0,1.5,0,0,0,0.5,0,400
2,zincchloride,1-Butyl-3-methylimidazolium chloride,0,0.333,0.667,0,1,0,0,0,0,303.15,1.34292,[Cl-].[Cl-].[Zn+2],CCCCN1C=C[N+](=C1)C.[Cl-],,36.89804895,-5.543789791,0,3,0.667,0.001129613,0.486112558,0.134500126,0,5.336,1.334,0,0,0,0,0,1.333,0,0,0,0.333,0,400
3,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,293,1.195,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.666,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0.667,0,0.999,0,0.333,0,0,0.667,371
4,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,303,1.188,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.666,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0.667,0,0.999,0,0.333,0,0,0.667,371
5,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,313,1.181,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.666,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0.667,0,0.999,0,0.333,0,0,0.667,371
6,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,323,1.174,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.666,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0.667,0,0.999,0,0.333,0,0,0.667,371
7,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,333,1.167,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.666,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0.667,0,0.999,0,0.333,0,0,0.667,371
8,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,343,1.16,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.666,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0.667,0,0.999,0,0.333,0,0,0.667,371
9,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,353,1.154,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.666,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0.667,0,0.999,0,0.333,0,0,0.667,371
