Number of components,Type of DES,Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",Phase diagram (Yes/No),Reference (DOI),Smiles#1,Smiles#2,Tmelt#1,Tmelt#2,MW,HBD_total,fr_Al_COO,fr_Ar_COO,fr_Ar_N,fr_Ar_OH,fr_NH0,fr_NH1,fr_amide,AROM,ALERTS,n_HM
2,1,zinc;dichloride,tetraethylazanium;chloride,0.666667,0.333333,364.15,No,10.1039/B106357J,[Cl-].[Cl-].[Zn+2],CC[N+](CC)(CC)CC.[Cl-],563.15,633.15,146.099990196,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.0,0.666667
2,1,dichlorotin,2-chloroethyl(trimethyl)azanium;chloride,0.666667,0.333333,343.15,No,10.1039/B106357J,[Cl-].[Sn+2].[Cl-],C[N+](C)(C)CCCl.[Cl-],519.15,498.15,179.102010515,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.333333,0.666667
2,1,zinc;dichloride,2-chloroethyl(trimethyl)azanium;chloride,0.666667,0.333333,297.15,No,10.1039/B106357J,[Cl-].[Cl-].[Zn+2],C[N+](C)(C)CCCl.[Cl-],563.15,498.15,143.554659408,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.333333,0.666667
2,1,dichlorotin,2-acetyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,287.15,No,10.1039/B106357J,[Cl-].[Sn+2].[Cl-],CC(=O)OCC[N+](C)(C)C.[Cl-],519.15,423.65,186.96566931799998,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.333333,0.666667
2,1,zinc;dichloride,2-acetyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,304.15,No,10.1039/B106357J,[Cl-].[Cl-].[Zn+2],CC(=O)OCC[N+](C)(C)C.[Cl-],563.15,423.65,151.41831821099998,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.333333,0.666667
2,1,zinc;dichloride,2-benzoyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,320.15,No,10.1039/B106357J,[Cl-].[Cl-].[Zn+2],C[N+](C)(C)CCOC(=O)c1ccccc1.[Cl-],563.15,479.65,172.108630854,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,1.333333,0.666667
2,1,dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,317.15,No,10.1039/B106357J,[Cl-].[Sn+2].[Cl-],C[N+](C)(C)CCO.[Cl-],519.15,578.15,172.95334999699998,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.0,0.666667
2,1,zinc;dichloride,ethyl(trimethyl)azanium;chloride,0.666667,0.333333,327.15,No,10.1039/B106357J,[Cl-].[Cl-].[Zn+2],CC[N+](C)(C)C.[Cl-],563.15,567.15,132.073004223,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.0,0.666667
2,1,zinc;dichloride,1-butyl-3-methylimidazol-3-ium;chloride,0.5,0.5,223.05,No,10.1016/j.molliq.2021.117021,[Cl-].[Cl-].[Zn+2],CCCCn1cc[n+](C)c1.[Cl-],563.15,341.95,155.4855,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5
2,1,dichlorotin,2-acetyloxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,293.15,No,10.1016/j.molliq.2021.117021,[Cl-].[Sn+2].[Cl-],CC(=O)OCC[N+](C)(C)C.[Cl-],519.15,423.65,186.9659318,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,1.3333,0.6667
