Number of components,Type of DES,Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",Phase diagram (Yes/No),Reference (DOI),Smiles#1,T#1,Smiles#2,T#2
2,1,zinc;dichloride,tetraethylazanium;chloride,0.666667,0.333333,364.15,No,10.1039/B106357J,[Cl-].[Cl-].[Zn+2],563.15,CC[N+](CC)(CC)CC.[Cl-],633.15
2,1,dichlorotin,2-chloroethyl(trimethyl)azanium;chloride,0.666667,0.333333,343.15,No,10.1039/B106357J,[Cl-].[Sn+2].[Cl-],519.15,C[N+](C)(C)CCCl.[Cl-],498.15
2,1,zinc;dichloride,2-chloroethyl(trimethyl)azanium;chloride,0.666667,0.333333,297.15,No,10.1039/B106357J,[Cl-].[Cl-].[Zn+2],563.15,C[N+](C)(C)CCCl.[Cl-],498.15
2,1,dichlorotin,2-acetyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,287.15,No,10.1039/B106357J,[Cl-].[Sn+2].[Cl-],519.15,CC(=O)OCC[N+](C)(C)C.[Cl-],423.65
2,1,zinc;dichloride,2-acetyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,304.15,No,10.1039/B106357J,[Cl-].[Cl-].[Zn+2],563.15,CC(=O)OCC[N+](C)(C)C.[Cl-],423.65
2,1,zinc;dichloride,2-benzoyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,320.15,No,10.1039/B106357J,[Cl-].[Cl-].[Zn+2],563.15,C[N+](C)(C)CCOC(=O)c1ccccc1.[Cl-],479.65
2,1,dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,317.15,No,10.1039/B106357J,[Cl-].[Sn+2].[Cl-],519.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,zinc;dichloride,ethyl(trimethyl)azanium;chloride,0.666667,0.333333,327.15,No,10.1039/B106357J,[Cl-].[Cl-].[Zn+2],563.15,CC[N+](C)(C)C.[Cl-],567.15
2,1,zinc;dichloride,1-butyl-3-methylimidazol-3-ium;chloride,0.5,0.5,223.05,No,10.1016/j.molliq.2021.117021,[Cl-].[Cl-].[Zn+2],563.15,CCCCn1cc[n+](C)c1.[Cl-],341.95
2,1,dichlorotin,2-acetyloxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,293.15,No,10.1016/j.molliq.2021.117021,[Cl-].[Sn+2].[Cl-],519.15,CC(=O)OCC[N+](C)(C)C.[Cl-],423.65
2,1,dibromozinc,2-acetyloxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,321.15,No,10.1016/j.molliq.2021.117021,[Br-].[Zn+2].[Br-],667.15,CC(=O)OCC[N+](C)(C)C.[Cl-],423.65
2,1,trichloroiron,butyl(triphenyl)phosphanium;bromide,0.6,0.4,325.67,No,10.1021/ie500466g,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],508.15
2,1,trichloroiron,butyl(triphenyl)phosphanium;bromide,0.5,0.5,330.16,No,10.1021/ie500466g,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],508.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.8036,0.1964,376.5682,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.7553,0.2447,359.1136,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.7147,0.2853,344.9318,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.6716,0.3284,338.3864,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,338.15,No,10.1016/j.gee.2019.03.002,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.6056,0.3944,362.3864,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.4102,0.5898,364.5682,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.3442,0.6558,334.0227,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.2985,0.7015,332.9318,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.2655,0.7345,336.2045,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.2122,0.7878,332.9318,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.1792,0.8208,342.75,Yes,10.1021/ic049931s,[Cl-].[Fe+3].[Cl-].[Cl-],577.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.801,0.199,411.4773,Yes,10.1021/ic049931s,[Cl-].[Sn+2].[Cl-],519.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.7807,0.2193,370.0227,Yes,10.1021/ic049931s,[Cl-].[Sn+2].[Cl-],519.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.7553,0.2447,349.2955,Yes,10.1021/ic049931s,[Cl-].[Sn+2].[Cl-],519.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.7173,0.2827,287.1136,Yes,10.1021/ic049931s,[Cl-].[Sn+2].[Cl-],519.15,C[N+](C)(C)CCO.[Cl-],578.15
2,1,dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.6716,0.3284,317.6591,Yes,10.1021/ic049931s,[Cl-].[Sn+2].[Cl-],519.15,C[N+](C)(C)CCO.[Cl-],578.15
