Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),Type I,Type II,Type III,Type IV,Type V,Type IL,"Melting temperature of component#1, K",Reference(DOI)#1,"Melting temperature of component#2, K",Reference(DOI)#2,"Molecular weight, g/mol",Number of hydrogen bond donors,Number of aliphatic carboxylic acids,Number of aromatic carboxylic acide,Number of aromatic nitrogens,Number of aromatic hydroxyl groups,Number of Tertiary amines,Number of Secondary amines,Number of amides,Number of aromatic rings,Chemical toxicity evaluation,Number of heavy atoms,train/test,"Tmelt, K",Reference (DOI),"Tmelt_prediction, K"
zinc;dichloride,tetraethylazanium;chloride,0.666667,0.333333,1,0,0,0,0,0,563.15,10.1002/ddr.21085,633.15,10.1016/j.gee.2020.11.020,146.0999902,0,0,0,0,0,0.333333,0,0,0,1,0.666667,test,364.15,10.1039/B106357J,349.532219
dichlorotin,2-chloroethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,519.15,10.1021/ja069813z,498.15,10.1248/yakushi1947.74.12_1344,179.1020105,0,0,0,0,0,0.333333,0,0,0,1.333333,0.666667,train,343.15,10.1039/B106357J,338.8730825
zinc;dichloride,2-chloroethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,563.15,10.1002/ddr.21085,498.15,10.1248/yakushi1947.74.12_1344,143.5546594,0,0,0,0,0,0.333333,0,0,0,1.333333,0.666667,train,297.15,10.1039/B106357J,309.0927193
dichlorotin,2-acetyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,519.15,10.1021/ja069813z,423.65,10.1107/S0108768195007567,186.9656693,0,0,0,0,0,0.333333,0,0,0,1.333333,0.666667,test,287.15,10.1039/B106357J,335.2262035
zinc;dichloride,2-acetyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,519.15,10.1002/ddr.21085,423.65,10.1107/S0108768195007567,186.9659318,0,0,0,0,0,0.3333,0,0,0,1.3333,0.6667,test,293.15,10.1039/B106357J,335.2262035
zinc;dichloride,2-benzoyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,563.15,10.1002/ddr.21085,423.65,KNN,151.4183182,0,0,0,0,0,0.333333,0,0,0,1.333333,0.666667,train,304.15,10.1039/B106357J,302.3766556
dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,563.15,10.1021/ja069813z,479.65,10.1016/j.molliq.2020.114745,172.1086309,0,0,0,0,0,0.333333,0,0,0.333333,1.333333,0.666667,test,320.15,10.1039/B106357J,314.746982
zinc;dichloride,ethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,519.15,10.1002/ddr.21085,578.15,KNN,172.95335,0.333333,0,0,0,0,0.333333,0,0,0,1,0.666667,train,317.15,10.1039/B106357J,342.0765983
zinc;dichloride,1-butyl-3-methylimidazol-3-ium;chloride,0.5,0.5,1,0,0,0,0,0,519.15,10.1002/ddr.21085,578.15,10.1016/j.molcata.2003.09.032,179.668791,0.199,0,0,0,0,0.199,0,0,0,1,0.801,train,411.4773,10.1016/j.molliq.2021.117021,367.2559692
dichlorotin,2-acetyloxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,1,0,0,0,0,0,519.15,10.1021/ja069813z,578.15,10.1107/S0108768195007567,178.6539737,0.2193,0,0,0,0,0.2193,0,0,0,1,0.7807,train,370.0227,10.1016/j.molliq.2021.117021,359.7080452
