Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),I,II,III,IV,V,"Temperature, K","VdWVolume, A^3#1","VdWVolume, A^3#2","VdWVolume, A^3#3",NumHeteroatoms,RingCount,InertialShapeFactor,SpherocityIndex,Metal_frac_gen,Li,C,N,O,F,Mg,Al,P,S,Cl,K,Cr,Fe,Co,Cu,Zn,Br,train/test,"Viscosity, cP",Reference (DOI),"Viscosity_prediction, cP"
FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,313,55.34707342,12.33242042,0,3.334,0,0.0004452001062,0.5286955108,0.06633155089,0,10.672,0,0,0,0,0,0.667,0,0.999,0,0,0.333,0,0,0,0.667,test,1279,10.1016/j.cep.2015.04.001,88.01450757
FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,323,55.34707342,12.33242042,0,3.334,0,0.0004452001062,0.5286955108,0.06633155089,0,10.672,0,0,0,0,0,0.667,0,0.999,0,0,0.333,0,0,0,0.667,test,826,10.1016/j.cep.2015.04.001,83.71928622
FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,333,55.34707342,12.33242042,0,3.334,0,0.0004452001062,0.5286955108,0.06633155089,0,10.672,0,0,0,0,0,0.667,0,0.999,0,0,0.333,0,0,0,0.667,test,407,10.1016/j.cep.2015.04.001,86.84768782
FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,343,55.34707342,12.33242042,0,3.334,0,0.0004452001062,0.5286955108,0.06633155089,0,10.672,0,0,0,0,0,0.667,0,0.999,0,0,0.333,0,0,0,0.667,test,244,10.1016/j.cep.2015.04.001,66.3190398
FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,353,55.34707342,12.33242042,0,3.334,0,0.0004452001062,0.5286955108,0.06633155089,0,10.672,0,0,0,0,0,0.667,0,0.999,0,0,0.333,0,0,0,0.667,test,128,10.1016/j.cep.2015.04.001,53.79841163
FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,343,55.34707342,12.33242042,0,3.2,0,0.0004448663778,0.5316196609,0.08319962099,0,9.6,0,0,0,0,0,0.6,0,1.2,0,0,0.4,0,0,0,0.6,test,430,10.1016/j.cep.2015.04.001,52.86009783
FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,353,55.34707342,12.33242042,0,3.2,0,0.0004448663778,0.5316196609,0.08319962099,0,9.6,0,0,0,0,0,0.6,0,1.2,0,0,0.4,0,0,0,0.6,test,198,10.1016/j.cep.2015.04.001,42.8804354
FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,363,55.34707342,12.33242042,0,3.2,0,0.0004448663778,0.5316196609,0.08319962099,0,9.6,0,0,0,0,0,0.6,0,1.2,0,0,0.4,0,0,0,0.6,test,104,10.1016/j.cep.2015.04.001,36.24257278
ALUMINUM CHLORIDE,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,94.13945951,47.41099925,0,2.333,0.667,0.0004555317599,0.6334434322,0.0933382396,0,6.327,0.333,0,0,0,0.667,0,0,2.334,0,0,0,0,0,0,0,test,12.8,10.13140/RG.2.2.13424.10245,17.18074163
CUPRIC CHLORIDE,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,36.89804895,47.41099925,0,4.334,0,0.0006133527957,0.5534233399,0.2189816781,0,6.327,0.333,0,0,0,0,0,0,1.667,0,0,0,0,0.667,0,0,train,13.8,10.13140/RG.2.2.13424.10245,14.08756357
FERRIC CHLORIDE,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,55.34707342,47.41099925,0,2.333,0,0.0003951573065,0.6364957742,0.1756459831,0,6.327,0.333,0,0,0,0,0,0,2.334,0,0,0.667,0,0,0,0,train,14.8,10.13140/RG.2.2.13424.10245,14.78687521
Tin tetrachloride,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,73.7960979,47.41099925,0,3,0.667,0.0002277662479,0.7403250165,0.2851849724,0,6.327,0.333,0,0,0,0,0,0,3.001,0,0,0,0,0,0,0,train,14.6,10.13140/RG.2.2.13424.10245,14.47897642
zincchloride,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,36.89804895,47.41099925,0,3,0,0.0006121639867,0.5520830696,0.2239133107,0,6.327,0.333,0,0,0,0,0,0,1.667,0,0,0,0,0,0.667,0,train,13.5,10.13140/RG.2.2.13424.10245,13.72531524
1-Ethyl-3-methylimidazolium chloride,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,-21.38094745,0,3,1.5,0.006148581736,0.2955231299,0,0,4,2.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,train,34.7,10.1021/acssuschemeng.0c04215,52.62247015
1-Ethyl-3-methylimidazolium chloride,1H-Benzotriazole,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,4.377157657,0,3.5,1,0.004627416317,0.3113952978,0,0,6,2.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,train,75.3,10.1021/acssuschemeng.0c04215,79.52923305
1-Ethyl-3-methylimidazolium chloride,1H-Tetrazole,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,-21.50401478,0,2.5,1.5,0.006176809367,0.294914881,0,0,3.5,3,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,train,44.6,10.1021/acssuschemeng.0c04215,39.78465707
1-Ethyl-3-methylimidazolium chloride,BENZIMIDAZOLE,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,18.97668393,0,2.5,1,0.00471517912,0.3064677633,0,0,6.5,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,train,825.4,10.1021/acssuschemeng.0c04215,113.66436
1-Ethyl-3-methylimidazolium chloride,imidazole,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,-6.781421172,0,2,1,0.006081654602,0.2973099881,0,0,4.5,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,test,317.4,10.1021/acssuschemeng.0c04215,86.82421127
1-Ethyl-3-methylimidazolium chloride,phenol,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,31.03715766,0,3,1,0.005304429496,0.300412743,0,0,6,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,train,58,10.1021/acssuschemeng.0c04215,101.9380128
1-Ethyl-3-methylimidazolium chloride,SUCCINIMIDE,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,6.758105104,0,3.5,1,0.005465767059,0.2916121567,0,0,5,1.5,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,train,59.3,10.1021/acssuschemeng.0c04215,120.8150694
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,303.15,-24.54378979,-16.00142117,0,3.857,0,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,train,716.2,10.1021/acssuschemeng.9b03245,226.5375743
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,313.15,-24.54378979,-16.00142117,0,3.857,0,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,train,330.7,10.1021/acssuschemeng.9b03245,113.5029282
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,323.15,-24.54378979,-16.00142117,0,3.857,0,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,train,165,10.1021/acssuschemeng.9b03245,80.64235138
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,333.15,-24.54378979,-16.00142117,0,3.857,0,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,train,89.1,10.1021/acssuschemeng.9b03245,54.92461028
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,343.15,-24.54378979,-16.00142117,0,3.857,0,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,train,51.8,10.1021/acssuschemeng.9b03245,39.4682642
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,353.15,-24.54378979,-16.00142117,0,3.857,0,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,train,31.4,10.1021/acssuschemeng.9b03245,32.8208218
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,303.15,-24.54378979,-16.00142117,0,3.833,0,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0.167,train,655.1,10.1021/acssuschemeng.9b03245,248.2767926
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,313.15,-24.54378979,-16.00142117,0,3.833,0,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0.167,train,300.2,10.1021/acssuschemeng.9b03245,122.4912893
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,323.15,-24.54378979,-16.00142117,0,3.833,0,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0.167,train,151.7,10.1021/acssuschemeng.9b03245,88.40467088
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,333.15,-24.54378979,-16.00142117,0,3.833,0,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0.167,train,83.7,10.1021/acssuschemeng.9b03245,59.43326853
