Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Viscosity, cP",Reference (DOI)
2,Ⅰ,1,0,0,0,0,Zinc chloride,1-Butyl-3-methylimidazolium chloride,,0.5,0.5,,298.15,3428.2,10.1016/j.jobe.2021.103056
2,Ⅰ,1,0,0,0,0,Zinc chloride,1-Butyl-3-methylimidazolium chloride,,0.667,0.333,,298.15,6153.7,10.1016/j.jobe.2021.103056
2,Ⅰ,1,0,0,0,0,Zinc chloride,1-Butyl-3-methylimidazolium chloride,,0.333,0.667,,298.15,3157.2,10.1016/j.jobe.2021.103056
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.333,0.667,,298,1640,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.333,0.667,,303,1697,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.333,0.667,,313,1279,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.333,0.667,,323,826,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.333,0.667,,333,407,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.333,0.667,,343,244,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.333,0.667,,353,128,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.4,0.6,,313,6524,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.4,0.6,,320,5431,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.4,0.6,,323,2966,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.4,0.6,,333,2093,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.4,0.6,,343,430,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.4,0.6,,353,198,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,FeCl3,Tetrabutylphosphonium bromide,,0.4,0.6,,363,104,10.1016/j.cep.2015.04.001
2,Ⅰ,1,0,0,0,0,AlCl3,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298,12.8,10.13140/RG.2.2.13424.10245
2,Ⅰ,1,0,0,0,0,CuCl2,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298,13.8,10.13140/RG.2.2.13424.10245
2,Ⅰ,1,0,0,0,0,FeCl3,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298,14.8,10.13140/RG.2.2.13424.10245
2,Ⅰ,1,0,0,0,0,SnCl4,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298,14.6,10.13140/RG.2.2.13424.10245
2,Ⅰ,1,0,0,0,0,Zincchloride,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298,13.5,10.13140/RG.2.2.13424.10245
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,"1,2,4-Triazole",,0.5,0.5,,313.2,34.7,10.1021/acssuschemeng.0c04215
