,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),I,II,III,IV,V,"Temperature, K","Viscosity, cP",isomer_smiles#1,isomer_smiles#2,isomer_smiles#3,"VdWVolume, A^3#1","VdWVolume, A^3#2","VdWVolume, A^3#3",NumHeteroatoms,RingCount,InertialShapeFactor,SpherocityIndex,Metal_frac_gen,Li,C,N,O,F,Mg,Al,P,S,Cl,K,Cr,Fe,Co,Cu,Zn,Br,ind_syst
5,FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,313,7.153833802,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,3.334,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0,0.667,0,0.999,0,0,0.333,0,0,0,0.667,177
6,FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,323,6.716594774,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,3.334,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0,0.667,0,0.999,0,0,0.333,0,0,0,0.667,177
7,FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,333,6.008813185,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,3.334,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0,0.667,0,0.999,0,0,0.333,0,0,0,0.667,177
8,FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,343,5.497168225,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,3.334,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0,0.667,0,0.999,0,0,0.333,0,0,0,0.667,177
9,FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.333,0.667,0,1,0,0,0,0,353,4.852030264,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,3.334,0,0.0004452,0.528695511,0.066331551,0,10.672,0,0,0,0,0,0.667,0,0.999,0,0,0.333,0,0,0,0.667,177
14,FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,343,6.063785209,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,3.2,0,0.000444866,0.531619661,0.083199621,0,9.6,0,0,0,0,0,0.6,0,1.2,0,0,0.4,0,0,0,0.6,177
15,FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,353,5.288267031,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,3.2,0,0.000444866,0.531619661,0.083199621,0,9.6,0,0,0,0,0,0.6,0,1.2,0,0,0.4,0,0,0,0.6,177
16,FERRIC CHLORIDE,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,363,4.644390899,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,3.2,0,0.000444866,0.531619661,0.083199621,0,9.6,0,0,0,0,0,0.6,0,1.2,0,0,0.4,0,0,0,0.6,177
17,ALUMINUM CHLORIDE,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,2.549445171,[Al+3].[Cl-].[Cl-].[Cl-],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],,94.13945951,47.41099925,0,2.333,0.667,0.000455532,0.633443432,0.09333824,0,6.327,0.333,0,0,0,0.667,0,0,2.334,0,0,0,0,0,0,0,33
18,CUPRIC CHLORIDE,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,2.624668592,[Cl-].[Cl-].[Cu+2],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],,36.89804895,47.41099925,0,4.334,0,0.000613353,0.55342334,0.218981678,0,6.327,0.333,0,0,0,0,0,0,1.667,0,0,0,0,0.667,0,0,121
19,FERRIC CHLORIDE,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,2.694627181,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],,55.34707342,47.41099925,0,2.333,0,0.000395157,0.636495774,0.175645983,0,6.327,0.333,0,0,0,0,0,0,2.334,0,0,0.667,0,0,0,0,175
20,Tin tetrachloride,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,2.681021529,[Sn+4].[Cl-].[Cl-].[Cl-].[Cl-],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],,73.7960979,47.41099925,0,3,0.667,0.000227766,0.740325017,0.285184972,0,6.327,0.333,0,0,0,0,0,0,3.001,0,0,0,0,0,0,0,318
21,zincchloride,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,2.602689685,[Cl-].[Cl-].[Zn+2],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],,36.89804895,47.41099925,0,3,0,0.000612164,0.55208307,0.223913311,0,6.327,0.333,0,0,0,0,0,0,1.667,0,0,0,0,0,0.667,0,394
22,1-Ethyl-3-methylimidazolium chloride,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,313.2,3.546739687,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1,,-10.82284234,-21.38094745,0,3,1.5,0.006148582,0.29552313,0,0,4,2.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,10
23,1-Ethyl-3-methylimidazolium chloride,1H-Benzotriazole,0,0.5,0.5,0,0,0,1,0,0,313.2,4.321480135,CCN1C=C[N+](=C1)C.[Cl-],C1=CC2=NNN=C2C=C1,,-10.82284234,4.377157657,0,3.5,1,0.004627416,0.311395298,0,0,6,2.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,11
24,1-Ethyl-3-methylimidazolium chloride,1H-Tetrazole,0,0.5,0.5,0,0,0,1,0,0,313.2,3.797733859,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1,,-10.82284234,-21.50401478,0,2.5,1.5,0.006176809,0.294914881,0,0,3.5,3,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,12
25,1-Ethyl-3-methylimidazolium chloride,BENZIMIDAZOLE,0,0.5,0.5,0,0,0,1,0,0,313.2,6.715868117,CCN1C=C[N+](=C1)C.[Cl-],C1=CC=C2C(=C1)NC=N2,,-10.82284234,18.97668393,0,2.5,1,0.004715179,0.306467763,0,0,6.5,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,13
26,1-Ethyl-3-methylimidazolium chloride,imidazole,0,0.5,0.5,0,0,0,1,0,0,313.2,5.760162808,CCN1C=C[N+](=C1)C.[Cl-],C1=CN=CN1,,-10.82284234,-6.781421172,0,2,1,0.006081655,0.297309988,0,0,4.5,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,15
27,1-Ethyl-3-methylimidazolium chloride,phenol,0,0.5,0.5,0,0,0,1,0,0,313.2,4.060443011,CCN1C=C[N+](=C1)C.[Cl-],C1=CC=C(C=C1)O,,-10.82284234,31.03715766,0,3,1,0.005304429,0.300412743,0,0,6,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,16
